1	2,050	22,015	1,050	4,015	5,000	1,000	8,100
2	5.150	16,100	1,150	9,109	15,800	2,100	4,200
3	8,200	10,125	1,192	14,125	22,500	2,500	3,500
4	11,250	4,175	1,250	19,175	28,700	3,510	2,720
5	14,325	1,200	4,325	24,198	34,500	4,200	2,530
6	17,350	0,250	8,350	29,251	39,000	5,020	2,100
7	20,490	5,400	12,411	34,495	46,700	8,200	1,150
8	23,698	10,500	16,505	28,498	53,800	10,100	0,720
9	26.900	15,700	20,610	22,598	65,000	12,800	0,540
10	29,450	20,700	24,695	16,699	82,000	14,400	0,150
11	32,750	25,750	21,750	9,748	95,400	16,700	0,550
12	28,800	30,775	18,804	4,775	102,800	18,500	1,760
13	24,950	35,800	15,850	2,798	117,000	21,300	2,230
14	20,840	40,850	12,050	7,850	129,780	25,700	4,610
15	16,910	34,855	9,910	13,855	99,000	29,900	6,160
16	10,925	22,865	5,925	19,865	85,500	32,500	8,250
17	4,929	16,885	1,011	25,875	71,900	28,700	12,370
18	2,933	4,915	5,933	31,899	57,500	24,200	14,260
19	1,935	8,950	10,935	37,951	43,580	19,100	16,510
20	3,950	16,975	16,950	42,975	29,400	19,700	19,740
21	9,810	20,995	22,950	35,015	15,500	21,000	15,140
22	12,750	24,975	28,108	27,975	12,500	23,560	13,350
23	15,150	28,950	34,251	19,950	9,800	25,300	8,580
24	18,200	32,900	38,204	12,915	6,500	28,700	6,740
25	21,450	36,875	34,248	6,875	4,400	31,560	4,850
26	24,325	40,865	28,325	1,865	2,500	37,100	6,210
27	27,350	46,855	23,351	5,855	1,300	34,700	9,520
28	30,400	52,850	18,408	9,850	4,700	26,200	10,750
29	34,500	47,775	13,495	14,775	11,200	23,700	12,950
30	29,600	42,750	8,607	19,750	14,700	20,360	8,100
31	24,700	37,710	3,697	25,697	17,800	17,700	4,150
32	19,750	32,603	1,750	31,605	20,100	13,340	2,360
33	14,800	27,495	2,798	37,495	40,520	11,720	1,350
34	9,850	22,394	5,850	44,415	65,200	9,900	2,130
35	4,907	17,245	8,913	36,255	80,760	7,740	4,570
36	1,910	12,192	12,910	28,205	91,100	6,360	6,750
37	6,925	7,175	17,925	19,175	109,500	5,700	9,260
38	12,929	2,125	22,929	9,125	122,900	4,750	11,790
39	18,010	1,105	27,933	3,091	128,300	3,650	13,120
40	24,935	3,010	21,935	1,985	94,500	3,520	15,360
41	19,950	13,110	15,950	4,115	57,600	2,720	12,850
42	14,020	18,115	3,995	9,115	35,800	2,340	10,340
43	9,050	12,128	9,950	15,120	15,260	2,160	12,680
44	4,935	6,131	17,935	22,130	9,520	1,760	14,320
45	1,925	2,135	25,925	29,135	4,800	1,480	16,160
